total_tx,gas_spent,avg_value,max_value,activity_days,wallet,risk_score
11,30822810950978250,7017525454545455.0,20000000000000000,798,0xa98dc64bb42575efec7d1e4560c029231ce5da51,974.75
8,15837658300000000,3183186587500000.0,18600000000000000,3,0xb271ff7090b39028eb6e711c3f89a3453d5861ee,916.67
5,11213533918915886,4383845324039499.0,18600000000000000,530,0xb475576594ae44e1f75f534f993cbb7673e4c8b6,949.62
11,31336779488796000,5629221363636364.0,18600000000000000,277,0xb57297c5d02def954794e593db93d0a302e43e5c,974.28
100,341129894246711833,5.000000000002e+18,5e+20,172,0xbd4a00764217c13a246f86db58d74541a0c3972a,995.87
12,99710521000000000,1.3935488166666666e+16,85289300000000000,1047,0xc179d55f7e00e789915760f7d260a1bf6285278b,976.73
95,565806341931352079,2.2489562175770832e+17,4806736480000000000,1517,0xc22b8e78394ce52e0034609a67ae3c959daa84bc,996.74
100,852159525271700011,4.796635496955491e+17,6022716034508938730,274,0xcbbd9fe837a14258286bbf2e182cbc4e4518c5a3,996.3
5,16992917000000000,4714538620000000.0,18600000000000000,13,0xcecf5163bb057c1aff4963d9b9a7d2f0bf591710,935.71
5,9834489000000000,5815230000000000.0,18600000000000000,0,0xcf0033bf27804640e5339e06443e208db5870dd2,750.0
6,17822528000000000,3553300000000000.0,18600000000000000,0,0xd0df53e296c1e3115fccc3d7cdf4ba495e593b56,757.14
5,5573362300000000,6604151140000000.0,18600000000000000,6,0xd1a3888fd8f490367c6104e10b4154427c02dd9c,921.43
6,13946047500000000,4054531750000000.0,18600000000000000,0,0xd334d18fa6bada9a10f361bae42a019ce88a3c33,757.14
8,17929635000000000,7125075625000000.0,16000000000000000,30,0xd9d3930ffa343f5a0eec7606d045d0843d3a02b4,960.22
100,537527419476109785,4.778135008271935e+16,512811339091981327,2674,0xdde73df7bd4d704a89ad8421402701b3a460c6e9,996.95
4,10350015000000000,4650000000000000.0,18600000000000000,0,0xde92d70253604fd8c5998c8ee3ed282a41b33b7f,740.0
12,36015285800000000,1.4421198433333334e+16,51629560000000000,147,0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,975.57
8,69782054464367646,1.2088856810076888e+16,42460480000000000,480,0xebb8629e8a3ec86cf90cb7600264415640834483,966.25
5,8824189717070928,1552133200000000.0,4950000000000000,794,0xeded1c8c0a0c532195b8432153f3bfa81dba2a90,949.75
76,1644363804830842170,8.095111377013782e+16,2000000000000000000,1816,0xf10fd8921019615a856c1e95c7cd3632de34edc4,995.99
100,386207286094960474,2.1926232620000003e+18,1.05e+20,220,0xf340b9f2098f80b86fbc5ede586c319473aa11f3,996.12
4,12102111800000000,4000000000000000.0,16000000000000000,0,0xf54f36bca969800fd7d63a68029561309938c09b,740.0
18,158723751231901199,0.0,0,44,0xf60304b534f74977e159b2e159e135475c245526,679.77
4,12577074000000000,4000000000000000.0,16000000000000000,7,0xf67e8e5805835465f7eba988259db882ab726800,915.0
4,6248336000000000,4650000000000000.0,18600000000000000,0,0xf7aa5d0752cfcd41b0a5945867d619a80c405e52,740.0
13,183261626500000000,3.0846453076923076e+16,200000000000000000,1599,0xf80a8b9cfff0febf49914c269fb8aead4a22f847,978.45
4,14913677000000000,4650000000000000.0,18600000000000000,0,0xfe5a05c0f8b24fca15a7306f6a4ebb7dcf2186ac,740.0
